price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
36000000,"jogeshwari vikhroli link road, JVLR-Jogeshwari Vikhroli Link Road, Mumbai - Western Suburbs, Maharashtra",2250,3,4,1,2,4
13900000,"Sion, Mumbai, Sion East, Mumbai - Central Mumbai, Maharashtra",1200,2,2,1,1,2
9000000,"Mira Road, Mumbai, Mira Bhayandar, Mumbai - Mira Road and Beyond, Maharashtra",1071,2,2,3,1,2
17000000,"unnat nagar, Goregaon West, Mumbai - North Mumbai, Maharashtra",1100,2,2,2,1,2
27800000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1600,3,3,1,2,4
17000000,"101., Malad East, Mumbai - North Mumbai, Maharashtra",1190,2,2,2,1,4
18000000,"Subhas Nagar, Chembur, Mumbai - Harbour Line, Maharashtra",950,2,2,2,1,2
29600000,"6, Dattani Park Rd, Kandivali, Dattani Park, Thakur Village, Kandivali East, Mumbai, Maharashtra, Thakur Village, Mumbai - North Mumbai, Maharashtra",1600,3,2,1,2,4
56400000,"Mumbai, Vile Parle East, Mumbai - Western Suburbs, Maharashtra",2068,3,3,2,1,2
340000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",8000,5,6,1,1,2
26700000,"Mulund west, Mulund West, Mumbai - Central Line, Maharashtra",2017,3,3,2,2,4
60000000,"Juhu circle, juhu., Juhu, Mumbai - Western Suburbs, Maharashtra",1800,3,3,3,1,2
33500000,"L & T Emerald Isle, Powai, Mumbai - Central Line, Maharashtra",1540,3,3,1,2,2
54000000,"Mulund West, Mumbai., Mulund West, Mumbai - Central Line, Maharashtra",3018,4,5,1,3,6
29000000,"At GMLR, Mulund West, Mumbai - Central Line, Maharashtra",1800,3,3,1,2,3
8200000,"Mira Road, Mumbai, Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",1062,2,2,4,1,2
230000000,"Worli, Mumbai, Worli Sea Face, Mumbai - South Mumbai, Maharashtra",4600,4,4,2,4,4
18100000,"Andheri East, Mumbai, Chakala MIDC, Mumbai - Western Suburbs, Maharashtra",1200,2,2,2,1,2
29000000,"Matunga west., Matunga West, Mumbai - South Mumbai, Maharashtra",894,2,2,2,1,3
73000000,"Hanuman Road, Vile Parle East, Vile Parle East, Mumbai - Western Suburbs, Maharashtra",2410,4,4,1,2,1
14400000,"Pratiksha Nagar Depot Rd, Sion, Mumbai, Maharashtra, Sion East, Mumbai - Central Mumbai, Maharashtra",1050,2,2,1,1,4
7730000,"Mira Road East, Mumbai, Mira Road East, Mumbai, Maharashtra",1031,2,2,4,2,1
8170000,"Mira Road, Mumbai, Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",974,2,2,4,2,2
8300000,"Mira Road, Mumbai, Mira Road East, Mumbai, Maharashtra",1013,2,2,4,1,2
23500000,"Goregaon West, Mumbai, Bangur Nagar, Mumbai - North Mumbai, Maharashtra",850,2,2,2,1,4
81000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",2340,4,4,2,2,6
7800000,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1013,2,2,4,1,4
33500000,"Andheri West, Mumbai, D.N. Nagar, Mumbai - Western Suburbs, Maharashtra",1450,3,3,2,1,2
15000000,"pant nagar, Ghatkopar East, Mumbai - Central Line, Maharashtra",676,2,2,2,1,2
8280000,"Mira Road, Mumbai, Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",974,2,2,4,1,2
18400000,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",990,2,2,2,1,5
22500000,"Chembur, Mumbai, Chembur East, Mumbai, Maharashtra",1000,2,2,2,1,4
8460000,"Mira Road, Mumbai, Poonam Gardens, Mumbai - Mira Road and Beyond, Maharashtra",1045,2,2,4,1,2
22100000,"Borivali East, Mumbai, Rajendra Nagar, Mumbai - North Mumbai, Maharashtra",1330,2,2,2,1,5
12600000,"MICL Aaradhya HighPark,  Western Express Hwy, near Dahisar Check Naka, Mahajan Wadi, Mira Road, Mira Bhayandar, Maharashtra 401107.isar check Naka, Mumbai, Maharashtra 401107, Mira Road East, Mumbai, Maharashtra",1100,2,2,4,1,4
5580000,"Near station and Don Bosco Highschool, Naigaon East mumbai. 401207, Naigaon East, Mumbai - Mira Road and Beyond, Maharashtra",915,2,2,4,1,2
23500000,"Goregaon West, Mumbai, Goregaon West, Mumbai - North Mumbai, Maharashtra",1210,2,3,2,1,4
32000000,"Byculla, Mumbai, Mazagaon Dock Wadi Bunder, Mumbai - South Mumbai, Maharashtra",961,2,3,3,1,4
